Symbol,Test_Samples,RMSE,MAE,MAPE_%
AAPL,13,4.471297162859852,3.3414367108413807,1.3154557898235208
ADBE,13,6.668891385842917,5.5435535680255335,1.619515088547284
AMZN,13,4.088301188931006,3.2948426720613497,1.5100589282236514
AXISBANK,13,18.0843966091685,15.734886522322016,1.3085471560518098
BHARTIARTL,13,21.523211069652657,16.904691000251326,0.8495588032919117
BTC-USD,25,2996.729284169153,2421.3344735865303,2.114174179404164
CL=F,14,1.5589692857501738,1.3091469736699497,2.2122834606268706
CRM,13,5.866298914142892,5.0072061044948795,2.012576155148042
ETH-USD,25,181.53752417329906,140.72532523857095,3.438757692860256
GC=F,14,97.12638910928163,75.39084243348664,1.8235383927503512
GOOGL,13,4.131988297803097,3.6622096022288395,1.4722504798547924
HDFCBANK,13,8.371039784823862,6.569593236886624,0.6627650817562502
HINDUNILVR,13,21.682128435164028,15.551121631493935,0.6124225760322964
INFY,13,24.589650695721907,21.12127651433443,1.4195958446316168
ITC,13,3.7626944625128225,3.1257165751661526,0.7707898789542426
KOTAKBANK,13,24.202086911990236,17.542284548440456,0.8052180565819033
META,13,10.29790683700009,7.4261167053325785,1.0351431349631395
MSFT,13,4.066872192316169,3.3069953759035204,0.6397132960758887
NFLX,13,40.04071292758326,26.453661649196036,2.2679169857078554
NVDA,13,4.601350913544033,3.3533350427431334,1.8180397715262235
RELIANCE,13,19.26266343753769,14.271249218901595,1.0066302925539239
SBIN,13,8.983502808223529,6.70847164412578,0.7576865201051979
TCS,13,39.232841371760806,31.873372497507155,1.0623368528427686
TSLA,13,11.922562644048027,9.651543831987782,2.224120550798941
^DJI,13,368.7949488991277,287.698544936183,0.6221392188317438
^FTSE,14,53.13458608217464,46.114567781303386,0.487371534838191
^GDAXI,14,197.50867865777033,161.01282529604396,0.664551197239874
^GSPC,13,67.98359169884624,51.398608601811176,0.7714469698954312
^HSI,13,389.59453118638834,321.16040461548954,1.2452257233577786
^IXIC,13,316.15013258259404,249.39991387266434,1.098326570561048
^N225,13,987.5003964656729,773.6912357259828,1.60782667073627
