Symbol,Mean_Sentiment,Std_Sentiment,Min_Sentiment,Max_Sentiment,Count
AAPL,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
ADBE,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
AMZN,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
AXISBANK,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
BHARTIARTL,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
BTC-USD,0.0007188930013538368,0.009671716170286974,0.0,0.13011963324504447,181
CL=F,0.0010245640412995627,0.011546250356282758,0.0,0.13011963324504447,127
CRM,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
ETH-USD,0.0007188930013538368,0.009671716170286974,0.0,0.13011963324504447,181
GC=F,0.0010245640412995627,0.011546250356282758,0.0,0.13011963324504447,127
GOOGL,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
HDFCBANK,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
HINDUNILVR,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
INFY,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
ITC,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
KOTAKBANK,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
META,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
MSFT,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
NFLX,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
NVDA,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
RELIANCE,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
SBIN,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
TCS,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
TSLA,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
^DJI,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
^FTSE,0.0010326955019447973,0.011591978259419922,0.0,0.13011963324504447,126
^GDAXI,0.00101655963472691,0.011501059379134683,0.0,0.13011963324504447,128
^GSPC,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
^HSI,0.0010493518810084231,0.011685088014294697,0.0,0.13011963324504447,124
^IXIC,0.0010409570659603558,0.011638253805730438,0.0,0.13011963324504447,125
^N225,0.0010753688697937558,0.011829057567731317,0.0,0.13011963324504447,121
