symbol,n_samples,rmse,mae,mape,r2_score,directional_accuracy,mean_true,mean_pred
AMZN,13,0.12090617472899902,0.09579966060755539,13.77224307962934,-1.4316189038043068,58.333333333333336,0.644227138055579,0.551455557346344
HINDUNILVR,13,0.13825991103074325,0.10522908704116646,14.521606122427716,-1.2292194740439477,33.33333333333333,0.6541235476179813,0.551455557346344
META,13,0.17027716962954634,0.16490338470838994,22.75024518269932,-15.097327794161142,33.33333333333333,0.7163590658489961,0.5514556169509888
AXISBANK,13,0.2085150742468415,0.16699720270299634,21.130287836427243,-1.7887891423569613,50.0,0.7184528746736573,0.5514556169509888
HDFCBANK,13,0.20979687071689948,0.14357350624119564,17.16620848545975,-0.7496795247127397,33.33333333333333,0.688783198578188,0.5514556169509888
BHARTIARTL,13,0.21434188354017955,0.15587639087226404,19.922296572547214,-0.612447024134515,33.33333333333333,0.683554375275147,0.5514556169509888
BTC-USD,25,0.23107390963712582,0.1779747356963233,23.175858307594197,-0.4378306819261595,54.166666666666664,0.6789673927288931,0.5514556765556335
NFLX,13,0.2369451649646744,0.16788100002792802,429.953301172653,-0.8993677815089518,58.333333333333336,0.38840897391706036,0.5514556169509888
^HSI,13,0.23758338378377666,0.21858896252793364,27.35865668053428,-5.514440949607025,66.66666666666666,0.77004464366854,0.5514556169509888
ETH-USD,25,0.24293183904872823,0.2244593503184602,27.92226813034523,-5.83538422993422,50.0,0.7759150268740937,0.5514556765556335
GC=F,14,0.2690067081401265,0.2521560495623702,30.462611406976887,-7.240166126251383,38.46153846153847,0.8036117261180038,0.5514556169509888
KOTAKBANK,13,0.2713017098592293,0.24258516475989994,28.943998125785637,-3.9877580775301507,33.33333333333333,0.7940408413155334,0.5514556169509888
SBIN,13,0.2919583411968959,0.2722460700347144,31.95121054540439,-6.664232809299171,25.0,0.8237017465903479,0.5514556169509888
INFY,13,0.2946605757217779,0.2738466231840857,144.35617234624678,-6.337590871792453,41.66666666666667,0.2776090579565205,0.5514556169509888
CRM,13,0.3137805197704836,0.2846365507360653,166.1616892713988,-4.6454602616379495,41.66666666666667,0.26681913040454086,0.5514556169509888
^GDAXI,14,0.32148017608663365,0.31157157422576837,35.52226113710234,-15.476190608820566,46.15384615384615,0.8630272550388766,0.5514556169509888
TSLA,13,0.3242234266966675,0.32076120879607284,36.578036242528256,-46.07444774034788,41.66666666666667,0.872216889936679,0.5514556169509888
MSFT,13,0.32913400375205903,0.3276014084646092,37.18630552970319,-106.62857369237103,41.66666666666667,0.8790570850202428,0.5514556169509888
AAPL,13,0.3297771658456304,0.3183616709361377,35.973586730175164,-13.698683636854733,25.0,0.8698173429067985,0.5514556169509888
NVDA,13,0.3468256213981441,0.34389311339857864,38.26031399934618,-58.38570680719854,50.0,0.8953487853692395,0.551455557346344
RELIANCE,13,0.35193362967792025,0.31467463611097696,242.2767010818826,-2.324414197574164,50.0,0.2571762177691204,0.5514556169509888
^FTSE,14,0.352650564354035,0.3491177919194571,38.580417045546056,-49.1625691273697,23.076923076923077,0.900573472732565,0.5514556169509888
^DJI,13,0.36909556407187083,0.3648315276981141,39.5792586419521,-42.53151996272303,50.0,0.9162872042537475,0.5514556169509888
GOOGL,13,0.3722214947630384,0.3686958672715725,39.87762739939378,-52.039178020381485,33.33333333333333,0.9201515346572605,0.551455557346344
^N225,13,0.3725348137218502,0.3687558530063933,39.873278842306085,-48.541907593201884,41.66666666666667,0.9202115341469995,0.5514556169509888
TCS,13,0.38027646008874744,0.3767463294448844,243.02286591030952,-53.11269607900262,66.66666666666666,0.17470935628069448,0.5514556169509888
ITC,13,0.3877292948275871,0.3500956035860099,338.69733191774026,-4.4141101005792045,50.0,0.20136006379967825,0.551455557346344
^GSPC,13,0.39645187190299247,0.39385266363915095,41.52319734484134,-75.51479277061758,41.66666666666667,0.9453083493647297,0.5514556169509888
^IXIC,13,0.39985237294229,0.39776347904495224,41.7928512527391,-94.95977682741618,58.333333333333336,0.9492191601855585,0.5514556169509888
ADBE,13,0.4124953452004405,0.40037698311707637,604.3633023330742,-16.273156926820164,50.0,0.15107868885358455,0.5514556169509888
CL=F,14,0.4305159306945944,0.41859300571822,878.0646385526202,-17.30763173253168,69.23076923076923,0.13286266232246433,0.551455557346344
